brand,mod_arc_s,model,num_review,price,rating,true_fit,true_width
Stacy Adams,0,Rolando Wing Tip Oxford,2,99.95,5.0,0,0
Stacy Adams,0,Rolando Wing Tip Oxford,2,99.95,5.0,0,0
Shoe The Bear,100,Nate L,1,107.99,2.0,100,100
CARLOS by Carlos Santana,75,Passion Double Monk Strap,8,138.95,4.0,38,57
CARLOS by Carlos Santana,64,Power Oxford,17,138.95,4.0,73,71
Stacy Adams,0,Madison Cap Toe Oxford,404,120.0,5.0,0,0
To Boot New York,0,Ultra Flex Declan,0,395.0,0.0,0,0
Stacy Adams,0,Tammany Folded Moc Toe Oxford,4,119.95,5.0,0,0
Bruno Magli,100,Barone,1,395.0,5.0,100,100
Hush Puppies,86,Shepsky Plain Toe Oxford,7,89.95,5.0,86,71
John Varvatos,50,NYC Derby,2,160.99,5.0,50,50
Josef Seibel,0,Jasper 53,0,150.0,0.0,0,0
Bostonian,100,Nantasket Fly,10,52.95,4.0,80,100
Florsheim,0,Amelio Perf Wing Tip Oxford,1,114.95,5.0,0,0
Florsheim,0,Amelio Perf Cap Toe Oxford,1,114.95,5.0,0,0
Florsheim,0,Forecast Waterproof Bike Toe Oxford,0,124.95,0.0,0,0
Florsheim,0,Amelio Perf Wing Tip Oxford,1,114.95,5.0,0,0
Florsheim,100,Uptown Wing Tip Oxford,253,114.95,4.0,80,80
Nunn Bush,0,Fifth Ave Cap Toe,3,69.95,5.0,0,0
CARLOS by Carlos Santana,0,Power Print,0,139.0,0.0,0,0
Anthony Veer,0,Clinton Tux,0,180.0,0.0,0,0
Steve Madden,100,Lorance,3,60.99,4.0,67,100
Deer Stags,100,Tone,1,40.99,4.0,100,100
Deer Stags,100,Oakland,2,49.99,4.0,100,100
,0,,0,0,0.0,0,0
BOSS Hugo Boss,0,Midtown Monk Strap Oxfords,0,298.0,0.0,0,0
BOSS Hugo Boss,0,Midtown Monk Strap Oxfords,0,298.0,0.0,0,0
Lucky Brand,0,Bowden,0,89.95,0.0,0,0
CARLOS by Carlos Santana,0,Power Print,0,88.79,0.0,0,0
Magnanni,100,Cotillas II,1,239.9,5.0,100,100
Ted Baker,0,Watele,0,108.92,0.0,0,0
ALDO,0,Galerrang-R,0,72.99,0.0,0,0
Mephisto,0,Batiste,0,348.9,0.0,0,0
Deer Stags,71,Benton Comfort Brogue,17,44.99,3.0,59,69
Florsheim,100,Uptown Wing Tip Oxford,253,114.95,4.0,80,80
Florsheim,100,Jetson Wing Tip Single Monk Strap,69,90.99,4.0,100,50
Stacy Adams,100,Fabriano Cap Toe Oxford,16,60.81,5.0,100,100
Stacy Adams,100,Fabriano Cap Toe Oxford,16,54.88,5.0,100,100
Wolf & Shepherd,0,Gambit Double-Monk,0,369.0,0.0,0,0
Bullboxer,0,Cali Derby,0,94.99,0.0,0,0
Carrucci,100,Cool Breeze,7,65.99,3.0,71,50
Stacy Adams,0,Quince Cap Toe Oxford,16,79.99,5.0,0,0
ECCO,0,Vitrus Mondial Cap Toe Tie,0,299.95,0.0,0,0
Dockers,71,Endow 2.0 Bike Toe Oxford,8,49.95,4.0,100,86
Magnanni,0,Tabor,0,475.99,0.0,0,0
